Date,Close
2019-10-08,8595.74
2019-10-09,8586.47
2019-10-10,8321.76
2019-10-11,8336.56
2019-10-12,8321.01
2019-10-13,8374.69
2019-10-14,8205.37
2019-10-15,8047.53
2019-10-16,8103.91
2019-10-17,7973.21
2019-10-18,7988.56
2019-10-19,8222.08
2019-10-20,8243.72
2019-10-21,8078.2
2019-10-22,7514.67
2019-10-23,7493.49
2019-10-24,8660.7
2019-10-25,9244.97
2019-10-26,9551.71
2019-10-28,9256.15
2019-10-29,9427.69
2019-10-30,9205.73
2019-10-31,9199.58
2019-11-01,9261.1
2019-11-02,9324.72
2019-11-03,9235.35
2019-11-04,9412.61
2019-11-05,9342.53
2019-11-06,9360.88
2019-11-07,9267.56
2019-11-08,8804.88
2019-11-09,8813.58
2019-11-10,9055.53
2019-11-11,8757.79
2019-11-12,8815.66
2019-11-13,8808.26
2019-11-14,8708.09
2019-11-15,8491.99
2019-11-16,8550.76
2019-11-17,8577.98
2019-11-18,8309.29
2019-11-19,8206.15
2019-11-20,8027.27
2019-11-21,7642.75
2019-11-22,7296.58
2019-11-23,7397.8
2019-11-24,7047.92
2019-11-25,7146.13
2019-11-26,7218.37
2019-11-27,7531.66
2019-11-28,7463.11
2019-11-29,7761.24
2019-11-30,7569.63
2019-12-01,7424.29
2019-12-02,7321.99
2019-12-03,7320.15
2019-12-04,7252.03
2019-12-05,7448.31
2019-12-06,7547.0
2019-12-07,7556.24
2019-12-08,7564.35
2019-12-09,7400.9
2019-12-10,7278.12
2019-12-11,7217.43
2019-12-12,7243.13
2019-12-13,7269.68
2019-12-14,7124.67
2019-12-15,7152.3
2019-12-16,6932.48
2019-12-17,6640.52
2019-12-18,7276.8
2019-12-19,7202.84
2019-12-20,7218.82
2019-12-21,7191.16
2019-12-22,7511.59
2019-12-23,7355.63
2019-12-24,7322.53
2019-12-25,7275.16
2019-12-26,7238.97
2019-12-27,7290.09
2019-12-28,7317.99
2019-12-29,7422.65
2019-12-30,7293.0
2019-12-31,7193.6
2020-01-01,7200.17
2020-01-02,6985.47
2020-01-03,7344.88
2020-01-04,7410.66
2020-01-05,7411.32
2020-01-06,7769.22
2020-01-07,8163.69
2020-01-08,8079.86
2020-01-09,7879.07
2020-01-10,8166.55
2020-01-11,8037.54
2020-01-12,8192.49
2020-01-13,8144.19
2020-01-14,8827.76
2020-01-15,8807.01
2020-01-16,8723.79
2020-01-17,8929.04
2020-01-18,8942.81
2020-01-19,8706.25
2020-01-20,8657.64
2020-01-21,8745.89
2020-01-22,8680.88
2020-01-23,8406.52
2020-01-24,8445.43
2020-01-25,8367.85
2020-01-26,8596.83
2020-01-27,8909.82
2020-01-28,9358.59
2020-01-29,9316.63
2020-01-30,9508.99
2020-01-31,9350.53
2020-02-01,9392.88
2020-02-02,9344.37
2020-02-03,9293.52
2020-02-04,9180.96
2020-02-05,9613.42
2020-02-06,9729.8
2020-02-07,9795.94
2020-02-08,9865.12
2020-02-09,10116.67
2020-02-10,9856.61
2020-02-11,10208.24
2020-02-12,10326.05
2020-02-13,10214.38
2020-02-14,10312.12
2020-02-15,9889.42
2020-02-16,9934.43
2020-02-17,9690.14
2020-02-18,10142.0
2020-02-19,9633.39
2020-02-20,9608.48
2020-02-21,9686.44
2020-02-22,9663.18
2020-02-23,9924.52
2020-02-24,9650.17
2020-02-25,9341.71
2020-02-26,8820.52
2020-02-27,8784.49
2020-02-28,8672.46
2020-02-29,8599.51
2020-03-01,8562.45
2020-03-02,8869.67
2020-03-03,8787.79
2020-03-04,8755.25
2020-03-05,9078.76
2020-03-06,9122.55
2020-03-07,8909.95
2020-03-08,8108.12
2020-03-09,7923.64
2020-03-10,7909.73
2020-03-11,7911.43
2020-03-12,4970.79
2020-03-13,5563.71
2020-03-14,5200.37
2020-03-15,5392.31
2020-03-16,5014.48
2020-03-17,5225.63
2020-03-18,5238.44
2020-03-19,6191.19
2020-03-20,6198.78
2020-03-21,6185.07
2020-03-22,5830.25
2020-03-23,6416.31
2020-03-24,6734.8
2020-03-25,6681.06
2020-03-26,6716.44
2020-03-27,6469.8
2020-03-28,6242.19
2020-03-29,6429.84
2020-03-29,5922.04
2020-03-30,6438.64
2020-03-31,6606.78
2020-04-01,6793.62
2020-04-02,6733.39
2020-04-03,6867.53
2020-04-04,6791.13
2020-04-05,7271.78
2020-04-06,7176.41
2020-04-07,7334.1
2020-04-08,7302.09
2020-04-09,6865.49
2020-04-10,6859.08
2020-04-11,6971.09
2020-04-12,6845.04
2020-04-13,6842.43
2020-04-14,6642.11
2020-04-15,7116.8
2020-04-17,7257.67
2020-04-18,7189.42
2020-04-19,6881.96
2020-04-20,6880.32
2020-04-21,7117.21
2020-04-22,7429.72
2020-04-23,7550.9
2020-04-24,7569.94
2020-04-25,7679.87
2020-04-26,7795.6
2020-04-27,7807.06
2020-04-28,8801.04
2020-04-29,8658.55
2020-04-30,8864.77
2020-05-01,8988.6
2020-05-02,8897.47
2020-05-03,8912.65
2020-05-04,9003.07
2020-05-05,9268.76
2020-05-06,9951.52
2020-05-07,9842.67
2020-05-08,9593.9
2020-05-09,8756.43
2020-05-10,8601.8
2020-05-11,8804.48
2020-05-12,9269.99
2020-05-13,9733.72
2020-05-14,9328.2
2020-05-15,9377.01
2020-05-16,9670.74
2020-05-17,9726.58
2020-05-18,9729.04
2020-05-19,9522.98
2020-05-20,9081.76
2020-05-21,9182.58
2020-05-22,9209.29
2020-05-23,8790.37
2020-05-24,8906.93
2020-05-25,8835.05
2020-05-26,9181.02
2020-05-27,9525.75
2020-05-28,9439.12
2020-05-29,9700.41
2020-05-30,9461.06
2020-05-31,10167.27
2020-06-01,9529.8
2020-06-02,9656.72
2020-06-03,9800.64
2020-06-04,9665.53
2020-06-05,9653.68
2020-06-06,9758.85
2020-06-07,9771.49
2020-06-08,9795.7
2020-06-09,9870.09
2020-06-10,9321.78
2020-06-11,9480.84
2020-06-12,9475.28
2020-06-13,9386.79
2020-06-14,9450.7
2020-06-15,9538.02
2020-06-16,9480.25
2020-06-17,9411.84
2020-06-18,9288.02
2020-06-19,9332.34
2020-06-20,9303.63
2020-06-21,9648.72
2020-06-22,9629.66
2020-06-23,9313.61
2020-06-24,9264.81
2020-06-25,9162.92
2020-06-26,9045.39
2020-06-27,9143.58
2020-06-28,9190.85
2020-06-29,9137.99
2020-06-30,9228.33
