Date,GOOGL High,GOOGL Low,GOOGL Volume
2016-09-07,810.5999755859375,803.719970703125,1145300
2016-09-08,808.4199829101562,801.010009765625,1177700
2016-09-09,801.75,788.0499877929688,1887600
2016-09-12,800.1699829101562,783.5,1863700
2016-09-13,795.7899780273438,784.3300170898438,1809000
2016-09-14,796.3300170898438,787.530029296875,1292100
2016-09-15,803.6500244140625,788.6599731445312,1557200
2016-09-16,799.02001953125,793.6199951171875,2130600
2016-09-19,803.989990234375,793.5599975585938,1149500
2016-09-20,802.75,798.260009765625,1049200
2016-09-21,805.9099731445312,796.030029296875,1348500
2016-09-22,819.0599975585938,807.7100219726562,1759300
2016-09-23,817.0,812.72998046875,1411700
2016-09-26,810.0800170898438,800.4500122070312,1472700
2016-09-27,813.489990234375,801.8300170898438,1367300
2016-09-28,810.25,802.780029296875,1470300
2016-09-29,813.9099731445312,800.8599853515625,1350000
2016-09-30,808.0900268554688,801.5,1660200
2016-10-03,803.5399780273438,796.22998046875,1489200
2016-10-04,806.5,799.6699829101562,1258700
2016-10-05,808.5,800.7100219726562,1213800
2016-10-06,806.9500122070312,800.510009765625,1099900
2016-10-07,805.9400024414062,796.8200073242188,1163100
2016-10-10,817.3800048828125,802.239990234375,1496100
2016-10-11,819.8599853515625,807.3699951171875,1721600
2016-10-12,814.5,808.5499877929688,907900
2016-10-13,806.5599975585938,798.6199951171875,1369000
2016-10-14,810.0900268554688,802.3200073242188,1111900
2016-10-17,813.489990234375,803.8300170898438,1056400
2016-10-18,828.8099975585938,813.3300170898438,2289300
2016-10-19,829.7999877929688,822.8800048828125,1500100
2016-10-20,828.469970703125,820.5499877929688,1393900
2016-10-21,824.2899780273438,818.3099975585938,1615800
2016-10-24,837.9400024414062,829.0399780273438,1447600
2016-10-25,838.5,825.2999877929688,1890700
2016-10-26,827.7100219726562,816.3499755859375,1794900
2016-10-27,826.5800170898438,814.6099853515625,2973500
2016-10-28,839.0,817.0,4354900
2016-10-31,822.6300048828125,808.0,2242700
2016-11-01,813.9600219726562,798.260009765625,2355900
2016-11-02,806.760009765625,785.0,2350700
2016-11-03,790.0,778.6300048828125,2175200
2016-11-04,788.47998046875,771.0,1970600
2016-11-07,805.0,792.9000244140625,1992600
2016-11-08,816.0399780273438,799.6199951171875,1769100
2016-11-09,811.7100219726562,792.0399780273438,3098500
2016-11-10,810.0599975585938,768.22998046875,5909600
2016-11-11,777.2899780273438,765.5399780273438,3592600
2016-11-14,771.780029296875,743.5900268554688,3688300
2016-11-15,780.239990234375,765.219970703125,2943900
2016-11-16,783.5,766.3300170898438,1798400
2016-11-17,788.9000244140625,779.8499755859375,1533700
2016-11-18,791.2899780273438,775.3499755859375,1806300
2016-11-21,786.5499877929688,776.2999877929688,1630800
2016-11-22,793.77001953125,783.739990234375,1394200
2016-11-23,789.52001953125,772.6500244140625,1313000
2016-11-25,782.9000244140625,778.1900024414062,613500
2016-11-28,799.739990234375,778.0999755859375,2575400
2016-11-29,796.4400024414062,785.3400268554688,1562000
2016-11-30,791.510009765625,773.1500244140625,2279100
2016-12-01,778.5999755859375,753.3599853515625,2867100
2016-12-02,770.5,759.0,1718800
2016-12-05,780.0,766.969970703125,1688500
2016-12-06,785.280029296875,773.3200073242188,1734100
2016-12-07,792.0,773.530029296875,2029400
2016-12-08,799.0,787.9099731445312,1612500
2016-12-09,809.9500122070312,798.0499877929688,1904500
2016-12-12,811.3499755859375,804.530029296875,1628600
2016-12-13,824.2999877929688,811.9400024414062,2128200
2016-12-14,824.260009765625,812.780029296875,1799700
2016-12-15,823.0,812.0,1769700
2016-12-16,819.2000122070312,808.1199951171875,2598900
2016-12-19,816.219970703125,804.5,1263600
2016-12-20,816.489990234375,811.0,1271900
2016-12-21,815.719970703125,805.0999755859375,1459600
2016-12-22,811.0700073242188,806.030029296875,1131600
2016-12-23,810.969970703125,805.1099853515625,765500
2016-12-27,816.0,805.7999877929688,976000
2016-12-28,813.3300170898438,802.4400024414062,1214800
2016-12-29,805.75,798.1400146484375,1057400
2016-12-30,803.2899780273438,789.6199951171875,1735900
