Date,Dow Jones Volume,NASDAQ Volume
2020-02-11,279540000,2423670000
2020-02-12,309530000,2355000000
2020-02-13,291150000,2239270000
2020-02-14,231000000,2222240000
2020-02-18,256600000,2273460000
2020-02-19,240640000,2462530000
2020-02-20,287780000,2735610000
2020-02-21,311210000,2743010000
2020-02-24,452580000,3177000000
2020-02-25,513270000,3583400000
2020-02-26,472450000,3567830000
2020-02-27,664980000,4536080000
2020-02-28,915990000,5301170000
2020-03-02,637200000,4232760000
2020-03-03,647080000,4336700000
2020-03-04,457590000,3602870000
2020-03-05,477370000,3748090000
2020-03-06,599780000,4279850000
2020-03-09,750430000,4530350000
2020-03-10,654860000,4431930000
2020-03-11,663960000,4273890000
2020-03-12,908260000,5066530000
2020-03-13,843080000,4685890000
2020-03-16,770130000,4594360000
2020-03-17,793060000,4900000000
2020-03-18,871360000,4890820000
2020-03-19,780300000,4762170000
2020-03-20,872290000,5239940000
2020-03-23,787970000,4330610000
2020-03-24,799340000,4417380000
2020-03-25,796320000,4666440000
2020-03-26,705180000,3999850000
2020-03-27,588830000,3977010000
2020-03-30,545540000,3846900000
2020-03-31,571210000,4059700000
2020-04-01,506680000,3685510000
2020-04-02,529540000,3608190000
2020-04-03,450010000,3279100000
2020-04-06,610760000,3849100000
2020-04-07,594660000,4069410000
2020-04-08,472740000,3470730000
2020-04-09,566400000,4123670000
2020-04-13,394320000,3146860000
2020-04-14,485910000,3732820000
2020-04-15,437630000,3333750000
2020-04-16,471050000,3995870000
2020-04-17,525950000,4335020000
2020-04-20,423410000,3796950000
2020-04-21,485140000,3756290000
2020-04-22,352880000,3025060000
2020-04-23,389290000,3734720000
2020-04-24,376020000,3673170000
2020-04-27,389390000,3678460000
2020-04-28,400250000,3707540000
2020-04-29,455290000,4378540000
2020-04-30,487840000,4316380000
2020-05-01,418160000,3722520000
2020-05-04,355360000,3422150000
2020-05-05,369710000,3913360000
2020-05-06,377450000,3620030000
2020-05-07,369890000,3762070000
2020-05-08,335760000,3777340000
2020-05-11,352400000,3898690000
2020-05-12,359480000,4315070000
2020-05-13,469950000,4244110000
